neuron_name,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,ap_postsyn_num,bas_postsyn_num,presynaptic_num,sum_postsyn_num,Soma_depth,AD,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean
140625b,,,,,,,,,,,180,1,29,17,,46,29,17,,46,1,4,,5,59,38,,97,30,21,,51,4257.11644848,2360.41308609,,6617.52953457,4257.11644848,590.103271523,,1323.50590691,59.0,9.5,,19.4,480.115130191,220.95986399400002,,272.790917233,0.9642542464120001,0.927181613576,,0.950553490799,5.491525423730001,2.36842105263,,4.268041237109999,72.1545160759,62.1161338445,,68.2219539646,175.092614785,92.7337649649,,142.828323103,123.62660855600001,62.81976789270001,,99.8053720076
140630b,,,,,,,,,,,252,1,36,19,,55,36,19,,55,1,5,,6,73,43,,116,37,24,,61,5210.73146916,2894.58526331,,8105.31673247,5210.73146916,578.917052661,,1350.88612208,73.0,8.6,,19.3333333333,593.416731134,216.884487216,,279.639861202,0.947432082736,0.9153424624269999,,0.9363465775380001,5.561643835619999,2.0465116279099997,,4.25862068966,71.3798831392,67.31593635600001,,69.8734201075,223.181902742,106.33756739399999,,179.86891636299998,158.298803859,74.4515266055,,127.21748556600001
140909a2A,,,,,,,,,,,208,1,27,25,,52,28,25,,53,1,5,,6,59,55,,114,31,30,,61,3985.70046975,3732.05456425,,7717.75503399,3985.70046975,746.4109128489999,,1286.29250567,59.0,11.0,,19.0,646.941144615,262.623131193,,326.67613343,0.9780774298129999,1.0266875736,,1.00144769125,4.305084745759999,2.2181818181799997,,3.2982456140400003,67.55424524989999,67.8555375317,,67.6996055613,225.58810733099997,115.24784517100001,,172.353770324,160.081978816,79.05046362770001,,120.987826752
140909a2B,,,,,,,,,,,240,1,32,31,,63,33,31,,64,1,5,,6,68,67,,135,35,36,,71,4486.01729715,4731.68268497,,9217.69998212,4486.01729715,946.336536994,,1536.28333035,68.0,13.4,,22.5,625.4204374130001,257.32338304,,318.672892102,1.01510637882,0.9832311007889999,,0.999421718202,7.132352941180001,2.83582089552,,5.0,65.9708426052,70.62212962640001,,68.2792591268,242.000721805,108.168608131,,175.580339463,173.59915306,75.51813712020001,,124.92190811200001
140909bA,,,,,,,,,,,213,1,20,27,,47,20,27,,47,1,8,,9,41,62,,103,21,35,,56,3240.28213683,4483.50288706,,7723.78502388,3240.28213683,560.437860882,,858.198335987,41.0,7.75,,11.4444444444,548.661148345,192.698689845,,232.250074123,0.9307839278,0.915699119401,,0.922118186805,5.12195121951,1.93548387097,,3.20388349515,79.0312716299,72.3145626944,,74.9882041154,231.219006931,110.19974781200001,,158.37246260700002,163.838485219,69.8780224164,,107.279760037
140909bB,,,,,,,,,,,213,1,27,32,,59,28,32,,60,1,5,,6,58,69,,127,30,37,,67,4293.68256635,4708.08980159,,9001.77236794,4293.68256635,941.6179603180001,,1500.29539466,58.0,13.8,,21.1666666667,538.160604036,227.898630423,,279.608959358,1.01350725978,0.765912425371,,0.879218536033,5.051724137930001,2.66666666667,,3.75590551181,74.0290097647,68.23318553029999,,70.8800973854,250.570336537,117.149345764,,178.08176674700002,159.33986923,74.6730142279,,113.33976690600001
150130aA,,,,,,,,,,,256,1,22,27,0.0,49,22,27,0.0,49,1,6,1.0,8,45,60,1.0,106,23,33,1.0,57,3323.99787091,4712.47523029,95.1738039008,8131.64690509,3323.99787091,785.4125383810001,95.1738039008,1016.45586314,45.0,10.0,1.0,13.25,559.0382456230001,282.371391592,90.5648738022,292.978933622,1.13752188486,1.05935951778,,1.09445282545,5.11111111111,2.13333333333,0.0,3.37735849057,73.8666193535,78.5412538381,95.1738039008,76.7136500481,216.21104349900003,125.222473097,95.1738039008,163.56621837,153.44371939200002,83.85887477819999,88.6766733885,113.44506163
150610aA,,,,,,,,,,,248,1,18,20,,38,19,20,,39,1,5,,6,40,45,,85,21,25,,46,3509.56308986,3585.80055669,,7095.36364655,3509.56308986,717.160111337,,1182.56060776,40.0,9.0,,14.166666666700001,536.213021197,217.54437705599997,,270.65581774599997,0.9788837931100001,0.9730407875370001,,0.975808527019,4.125,2.22222222222,,3.1176470588200003,87.7390772466,79.68445681520001,,83.47486643,232.71384341900003,117.509928986,,171.72353577799998,151.957969123,75.3978242332,,111.426127711
150610aB,,,,,,,,,,,294,1,10,25,,35,11,25,,36,1,7,,8,24,57,,81,13,32,,45,2293.37450111,4200.6327574,,6494.00725852,2293.37450111,600.090393915,,811.750907315,24.0,8.14285714286,,10.125,456.043392441,195.72645145299998,,228.266069077,1.00756799452,0.848966456295,,0.894281181503,3.95833333333,1.9649122807,,2.55555555556,95.5572708797,73.6953115334,,80.1729291175,222.60203051099998,108.422569278,,142.253520755,172.02708652799998,68.2268099925,,98.98244748450001
150710a,,,,,,,,,,,135,1,22,15,,37,22,15,,37,1,5,,6,45,35,,80,23,20,,43,3386.69679577,2763.82721332,,6150.52400908,3386.69679577,552.765442663,,1025.08733485,45.0,7.0,,13.333333333299999,521.92929147,205.62086996,,258.338940212,1.1229883951100001,0.982553611218,,1.06605537461,4.26666666667,1.6571428571399998,,3.125,75.25992879479999,78.96649180899999,,76.8815501135,197.85958380900001,98.2906859905,,154.29819101299998,123.744218323,67.84217163550001,,99.2870728975
150720a1,,,,,,,,,,,240,1,19,29,,48,19,29,,48,1,6,,7,39,64,,103,20,35,,55,3608.5378508000003,4700.99686443,,8309.53471523,3608.5378508000003,783.4994774060001,,1187.07638789,39.0,10.6666666667,,14.7142857143,499.21057077800003,272.185317163,,304.617496251,1.06267123485,1.18733910985,,1.13799140933,4.46153846154,2.125,,3.00970873786,92.526611559,73.4530760068,,80.6750943227,245.003000404,115.277760625,,164.397026172,167.399897871,74.7802769103,,109.84984212799999
150720a2,,,,,,,,,,,213,1,20,23,,43,20,23,,43,1,5,,6,41,51,,92,21,28,,49,3104.36687148,3340.21070764,,6444.57757912,3104.36687148,668.042141529,,1074.09626319,41.0,10.2,,15.333333333299999,612.359427367,236.974161391,,299.538372387,1.21008926635,0.9204062090189999,,1.05514251475,4.48780487805,2.03921568627,,3.1304347826099996,75.716265158,65.4943276008,,70.04975629479999,246.525817452,105.159322678,,168.159608392,163.56022164700002,69.0034975835,,111.142907221
150720b,,,,,,,,,,,285,1,14,26,,40,15,26,,41,1,5,,6,32,57,,89,17,31,,48,2721.53015064,4462.82109944,,7184.35125008,2721.53015064,892.564219888,,1197.39187501,32.0,11.4,,14.833333333299999,614.712120413,237.71309938099998,,300.546269553,0.940365737909,0.9074736998799999,,0.9189859131899999,4.3125,2.24561403509,,2.9887640449400004,85.0478172076,78.29510700770001,,80.7230477537,242.27353852599998,125.132446775,,167.250592124,177.573984793,85.2778480491,,118.46297586700001
